TIME;SOURCE;DESTINATION;PORT;FLAGS;LENGTH
15:34:06.684162;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2635;S;120
15:34:06.684178;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2636;S;120
15:34:06.684194;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2637;S;120
15:34:06.684210;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2638;S;120
15:34:06.684227;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2639;S;120
15:34:06.684243;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2640;S;120
15:34:06.684260;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2641;S;120
15:34:06.684276;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2642;S;120
15:34:06.684292;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2643;S;120
15:34:06.684309;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2644;S;120
15:34:06.684325;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2645;S;120
15:34:06.684341;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2646;S;120
15:34:06.684357;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2647;S;120
15:34:06.684374;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2648;S;120
15:34:06.684390;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2649;S;120
15:34:06.684406;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2650;S;120
15:34:06.684423;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2651;S;120
15:34:06.684439;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2652;S;120
15:34:06.684456;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2653;S;120
15:34:06.684472;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2654;S;120
15:34:06.684488;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2655;S;120
15:34:06.684504;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2656;S;120
15:34:06.684521;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2657;S;120
15:34:06.684537;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2658;S;120
15:34:06.684554;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2659;S;120
15:34:06.684570;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2660;S;120
15:34:06.684586;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2661;S;120
15:34:06.684603;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2662;S;120
15:34:06.684619;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2663;S;120
15:34:06.684635;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2664;S;120
15:34:06.684651;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2665;S;120
15:34:06.684668;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2666;S;120
15:34:06.684685;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2667;S;120
15:34:06.684702;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2668;S;120
15:34:06.684730;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2669;S;120
15:34:06.684748;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2670;S;120
15:34:06.684765;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2671;S;120
15:34:06.684781;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2672;S;120
15:34:06.684798;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2673;S;120
15:34:06.684814;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2674;S;120
15:34:06.684830;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2675;S;120
15:34:06.684859;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2676;S;120
15:34:06.684878;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2677;S;120
15:34:06.684897;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2678;S;120
15:34:06.684917;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2679;S;120
15:34:06.684936;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2680;S;120
15:34:06.684955;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2681;S;120
15:34:06.684974;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2682;S;120
15:34:06.684990;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2683;S;120
15:34:06.685007;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2684;S;120
15:34:06.685023;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2685;S;120
15:34:06.685039;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2686;S;120
15:34:06.685056;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2687;S;120
15:34:06.685072;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2688;S;120
15:34:06.685088;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2689;S;120
15:34:06.685104;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2690;S;120
15:34:06.685121;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2691;S;120
15:34:06.685137;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2692;S;120
15:34:06.685153;190-0-175-100.gba.solunet.com.ar;184.107.43.74.http;2693;S;120
